"","V1","V2"
"181",5.72344322344322e-06,-0.000518082569591522
"182",5.75524013024013e-06,-0.000515622882753607
"183",5.78703703703704e-06,-0.000500718373204505
"184",5.81883394383394e-06,-0.000533346109587516
"185",5.85063085063085e-06,-0.000550902009033296
"186",5.88242775742776e-06,-0.000581527089121148
"187",5.91422466422466e-06,-0.000575160484994983
"188",5.94602157102157e-06,-0.000543810676997484
"189",5.97781847781848e-06,-0.000545253893771581
"190",6.00961538461538e-06,-0.000530509638922847
"191",6.04141229141229e-06,-0.000571821416313203
"192",6.0732091982092e-06,-0.000584787200587259
"193",6.10500610500611e-06,-0.000590582231522092
"194",6.13680301180301e-06,-0.000582312867376302
"195",6.16859991859992e-06,-0.000566210615587535
"196",6.20039682539682e-06,-0.000553112675641955
"197",6.23219373219373e-06,-0.000567838603037334
"198",6.26399063899064e-06,-0.000576631402554471
"199",6.29578754578754e-06,-0.000583666402413076
"200",6.32758445258445e-06,-0.000576836198106946
"201",6.35938135938136e-06,-0.000613095003630216
"202",6.39117826617827e-06,-0.000605459879857146
"203",6.42297517297517e-06,-0.000604539407987562
"204",6.45477207977208e-06,-0.00062815714419967
"205",6.48656898656899e-06,-0.000594667383352854
"206",6.51836589336589e-06,-0.000600656861734048
"207",6.5501628001628e-06,-0.000610626785928421
"208",6.58195970695971e-06,-0.00056397793006227
"209",6.61375661375661e-06,-0.00059998610099596
"210",6.64555352055352e-06,-0.000566544202784892
"211",6.67735042735043e-06,-0.000604832468102435
"212",6.70914733414733e-06,-0.000596453963674322
"213",6.74094424094424e-06,-0.000601601395057269
"214",6.77274114774115e-06,-0.000600372837757155
"215",6.80453805453805e-06,-0.000600534758996938
"216",6.83633496133496e-06,-0.000610005828740211
"217",6.86813186813187e-06,-0.000607983923913593
"218",6.89992877492877e-06,-0.000614266381726008
"219",6.93172568172568e-06,-0.00061077647526295
"220",6.96352258852259e-06,-0.00063184648873607
"221",6.99531949531949e-06,-0.000625557235485221
"222",7.0271164021164e-06,-0.000590216593699049
"223",7.05891330891331e-06,-0.000620131952690868
"224",7.09071021571022e-06,-0.000628124587834225
"225",7.12250712250712e-06,-0.000650817150452539
"226",7.15430402930403e-06,-0.000632539221372628
"227",7.18610093610094e-06,-0.000632120373885516
"228",7.21789784289784e-06,-0.000643427021301783
"229",7.24969474969475e-06,-0.000674526297608255
"230",7.28149165649166e-06,-0.000645836765542056
"231",7.31328856328856e-06,-0.000674374624138382
"232",7.34508547008547e-06,-0.000665106862013537
"233",7.37688237688238e-06,-0.000665391089242724
"234",7.40867928367928e-06,-0.000618085328122341
"235",7.44047619047619e-06,-0.000627023598608794
"236",7.4722730972731e-06,-0.000627940874110055
"237",7.50407000407e-06,-0.000622957299609094
"238",7.53586691086691e-06,-0.000580487129038921
"239",7.56766381766382e-06,-0.000590202923561391
"240",7.59946072446072e-06,-0.000582360364944342
"241",7.63125763125763e-06,-0.000582205496020511
"242",7.66305453805454e-06,-0.00056527229023419
"243",7.69485144485144e-06,-0.000609807184914782
"244",7.72664835164835e-06,-0.000590616222805684
